Date,Open,High,Low,Close,Adj Close,Volume
2019-12-20,52.360001,53.220001,52.299999,53.090000,49.392475,8993648
2019-12-23,53.299999,53.869999,52.560001,53.000000,49.308746,11459973
2019-12-24,53.000000,53.500000,52.570000,53.150002,49.448299,5381425
2019-12-25,52.980000,54.000000,52.709999,53.959999,50.201881,8630051
2019-12-26,52.700001,53.160000,51.009998,52.349998,48.704014,23573963
2019-12-27,52.150002,54.849998,52.099998,54.400002,50.611240,20954580
2019-12-30,54.590000,56.549999,54.520000,56.049999,52.146320,18987502
2019-12-31,56.000000,57.189999,55.680000,56.169998,52.257965,14206842
2020-01-02,56.500000,57.599998,55.689999,55.889999,51.997463,21337965
2020-01-03,55.900002,57.759998,55.900002,56.939999,52.974339,17784857
2020-01-06,56.700001,57.349998,53.650002,55.200001,51.355522,27494534
2020-01-07,55.200001,55.990002,54.590000,54.779999,50.964775,20063006
2020-01-08,54.250000,54.250000,54.250000,54.250000,50.471687,16752874
2020-01-09,54.669998,55.560001,54.000000,55.360001,51.504383,12766954
2020-01-10,55.360001,55.470001,53.529999,54.360001,50.574028,18782492
2020-01-13,54.400002,54.400002,54.400002,54.400002,50.611240,14425518
2020-01-14,55.070000,55.070000,55.070000,55.070000,51.234577,18304321
2020-01-15,55.000000,55.000000,53.570000,53.959999,50.201881,12622778
2020-01-16,54.340000,55.130001,53.900002,54.110001,50.341438,9710876
2020-01-17,54.259998,54.400002,53.660000,53.919998,50.164669,7658252
2020-01-20,54.110001,54.900002,53.880001,54.529999,50.732185,11263316
2020-01-21,54.709999,54.779999,52.889999,53.779999,50.034420,15582329
2020-01-22,53.400002,54.169998,53.020000,53.919998,50.164669,11202786
2020-01-23,53.799999,53.799999,50.919998,51.910000,48.294659,24097403
2020-02-03,46.720001,48.799999,46.720001,48.490002,45.112854,33451373
2020-02-04,48.799999,50.299999,48.799999,49.470001,46.024597,30937981
2020-02-05,49.299999,50.500000,48.939999,49.509998,46.061810,30460908
2020-02-06,49.529999,49.970001,49.000000,49.730000,46.266487,22417811
2020-02-07,49.480000,49.480000,48.279999,48.849998,45.447777,22110648
2020-02-10,48.810001,50.320000,48.180000,50.299999,46.796787,28483129
2020-02-11,50.400002,50.849998,49.700001,50.000000,46.517681,17544737
2020-02-12,50.020000,51.430000,49.799999,50.439999,46.927036,21629859
2020-02-13,50.689999,51.349998,50.150002,50.220001,46.722363,15858471
2020-02-14,49.970001,50.580002,49.540001,49.959999,46.480473,12121483
2020-02-17,49.810001,51.500000,49.810001,51.490002,47.903912,17441253
2020-02-18,51.599998,51.599998,50.400002,50.779999,47.243359,14892892
2020-02-19,50.700001,51.950001,50.160000,51.200001,47.634106,19458630
2020-02-20,51.020000,51.790001,50.950001,51.619999,48.024857,18739001
2020-02-21,51.599998,52.480000,51.200001,51.410000,47.829483,21312034
2020-02-24,51.000000,51.029999,49.779999,49.990002,46.508381,27079535
2020-02-25,49.000000,49.389999,48.000000,48.770000,45.373348,28189659
2020-02-26,47.860001,48.900002,47.560001,48.459999,45.084938,20795659
2020-02-27,48.630001,50.139999,48.500000,49.860001,46.387436,22560738
2020-02-28,49.040001,49.040001,47.000000,47.040001,43.763840,26527468
2020-03-02,47.080002,50.650002,47.080002,50.160000,46.666542,29235655
2020-03-03,50.910000,51.200001,49.049999,49.320000,45.885044,24127514
2020-03-04,49.549999,50.490002,49.320000,49.900002,46.424648,14987455
2020-03-05,50.150002,52.980000,50.139999,52.200001,48.564461,39493561
2020-03-06,51.730000,53.040001,51.500000,51.599998,48.006245,17861814
2020-03-09,50.000000,50.000000,48.400002,48.520000,45.140759,41334656
2020-03-10,47.709999,49.750000,47.700001,49.560001,46.108330,19922596
2020-03-11,49.590000,49.610001,48.500000,48.570000,45.187279,13835996
2020-03-12,47.900002,47.900002,45.669998,46.470001,43.233536,34596130
2020-03-13,44.000000,45.430000,43.250000,44.959999,41.828701,34516121
2020-03-16,45.200001,45.389999,41.880001,42.430000,39.474911,31693750
2020-03-17,42.360001,43.410000,40.180000,41.450001,38.563160,29138082
2020-03-18,42.299999,43.349998,41.340000,41.689999,38.786446,29332901
2020-03-19,41.580002,42.279999,39.459999,40.380001,37.567684,44118269
2020-03-20,40.810001,41.730000,40.150002,40.570000,37.744450,33007438
2020-03-23,38.880001,39.349998,37.599998,38.450001,35.772102,36565724
2020-03-24,39.389999,39.549999,38.180000,39.200001,36.469868,22955468
2020-03-25,40.509998,41.549999,40.349998,41.290001,38.414307,26250238
